profile_id,station_name,source_file,station_id,subset_index,report_datetime_utc,seq,fxy,name,value,value_text,unit,kind,scale,reference,nbits
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,821,058008,RRSTG    RAW REPORT STRING,b'1121 285',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,822,058008,RRSTG    RAW REPORT STRING,b'18 22104',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,823,058008,RRSTG    RAW REPORT STRING,b' 26017 3',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,824,058008,RRSTG    RAW REPORT STRING,b'1313 527',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,825,058008,RRSTG    RAW REPORT STRING,b'03 81130',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,826,058008,RRSTG    RAW REPORT STRING,b' 41414 2',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,827,058008,RRSTG    RAW REPORT STRING,b'4601    ',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,828,058008,RRSTG    RAW REPORT STRING,b'TTDD 141',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,829,058008,RRSTG    RAW REPORT STRING,b'2/ 31004',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,830,058008,RRSTG    RAW REPORT STRING,b' 11959 5',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,831,058008,RRSTG    RAW REPORT STRING,b'4557 224',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,832,058008,RRSTG    RAW REPORT STRING,b'76 52959',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,833,058008,RRSTG    RAW REPORT STRING,b' 33346 5',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,834,058008,RRSTG    RAW REPORT STRING,b'2960 212',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,835,058008,RRSTG    RAW REPORT STRING,b'12 11959',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,836,058008,RRSTG    RAW REPORT STRING,b' 27012 2',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,837,058008,RRSTG    RAW REPORT STRING,b'2760 270',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,838,058008,RRSTG    RAW REPORT STRING,b'11 33650',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,839,058008,RRSTG    RAW REPORT STRING,b' 25013 4',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,840,058008,RRSTG    RAW REPORT STRING,b'4601 275',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,841,058008,RRSTG    RAW REPORT STRING,b'12 55556',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,842,058008,RRSTG    RAW REPORT STRING,b' 27515 6',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,843,058008,RRSTG    RAW REPORT STRING,b'6514 300',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,844,058008,RRSTG    RAW REPORT STRING,b'16 77476',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,845,058008,RRSTG    RAW REPORT STRING,b' 30011 8',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,846,058008,RRSTG    RAW REPORT STRING,b'8440 250',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,847,058008,RRSTG    RAW REPORT STRING,b'06 99407',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,848,058008,RRSTG    RAW REPORT STRING,b' 25513 1',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,849,058008,RRSTG    RAW REPORT STRING,b'1377 305',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,850,058008,RRSTG    RAW REPORT STRING,b'10      ',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,851,058008,RRSTG    RAW REPORT STRING,b'TTAA 141',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,852,058008,RRSTG    RAW REPORT STRING,b'21 31004',,CCITT IA5,numeric,0,0,64
