profile_id,layer_index,base_idx,top_idx,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,base_pressure_hpa,top_pressure_hpa,base_temperature_c,top_temperature_c,depth_m,delta_t_c,mean_gradient_c_100m,position_type,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991209_1200_12,1,7,8,5030.6,5144.0,4350.6,4464.0,500.0,533.0,-45.29999999999998,-42.29999999999998,113.39999999999964,3.0,2.645502645502654,HE,0,0.0,gap_v3
31004_19991210_1200_12,0,0,2,680.0,824.9,0.0,144.89999999999998,938.0,922.0,-39.29999999999998,-36.49999999999997,144.89999999999998,2.8000000000000114,1.9323671497584622,G,0,0.0,gap_v3
31004_19991210_1200_12,1,4,6,1552.1,2712.3,872.0999999999999,2032.3000000000002,845.0,733.0,-39.099999999999966,-32.89999999999998,1160.2000000000003,6.199999999999989,0.5343906223064978,HE,0,0.0,gap_v3
31004_19991210_1200_12,2,9,10,5000.5,5003.9,4320.5,4323.9,500.0,547.0,-47.89999999999998,-44.099999999999966,3.399999999999636,3.8000000000000114,111.76470588236523,HE,0,0.0,gap_v3
31004_19991208_1200_12,0,1,3,1272.4,1497.5,592.4000000000001,817.5,860.0,837.0,-21.899999999999977,-20.899999999999977,225.0999999999999,1.0,0.4442470013327412,HE,0,0.0,gap_v3
31004_19991224_1200_12,0,0,3,680.0,1038.4,0.0,358.4000000000001,934.0,895.0,-23.299999999999983,-14.899999999999975,358.4000000000001,8.400000000000007,2.3437500000000018,G,0,0.0,gap_v3
31004_19991211_1200_12,0,0,3,680.0,2789.3,0.0,2109.3,944.0,700.0,-40.69999999999999,-28.899999999999977,2109.3,11.800000000000011,0.5594272981557867,G,0,0.0,gap_v3
31004_19991212_1200_12,0,0,6,680.0,1981.8,0.0,1301.8,945.0,808.0,-41.29999999999998,-23.299999999999983,1301.8,18.0,1.3827008757105546,G,0,0.0,gap_v3
31004_19991226_1200_12,0,0,2,680.0,816.2,0.0,136.20000000000005,935.0,920.0,-18.69999999999999,-16.099999999999966,136.20000000000005,2.6000000000000227,1.908957415565361,G,0,0.0,gap_v3
31004_19991226_1200_12,1,9,10,4570.7,4786.5,3890.7,4106.5,577.0,561.0,-32.49999999999997,-32.099999999999966,215.80000000000018,0.4000000000000057,0.18535681186283845,HE,0,0.0,gap_v3
31004_19991227_1200_12,0,0,2,680.0,816.7,0.0,136.70000000000005,932.0,917.0,-27.899999999999977,-18.49999999999997,136.70000000000005,9.400000000000006,6.876371616678861,G,0,0.0,gap_v3
31004_19991227_1200_12,1,4,5,2779.3,2826.9,2099.3,2146.9,700.0,718.0,-27.299999999999983,-26.899999999999977,47.59999999999991,0.4000000000000057,0.8403361344537951,HE,0,0.0,gap_v3
31004_19991230_1200_12,0,0,2,680.0,1289.2,0.0,609.2,941.0,875.0,-36.29999999999998,-24.899999999999977,609.2,11.400000000000006,1.8713066316480635,G,0,0.0,gap_v3
