profile_id,n_inversion_layers,has_G,has_E,has_HE,lowest_layer_index,strongest_layer_index,lowest_base_agl_m,lowest_top_agl_m,lowest_delta_t_c,strongest_delta_t_c,strongest_depth_m,pattern
31004_20000223_1200_12,1,False,False,True,0,0,2186.5,2645.0,1.0,1.0,458.5,HE
31004_20000221_1200_12,3,True,False,True,0,2,0.0,136.39999999999998,1.0,1.8000000000000114,449.0,MULTI
31004_20000302_1200_12,1,False,False,True,0,0,2079.3,2102.6,0.4000000000000057,0.4000000000000057,23.299999999999727,HE
31004_20000225_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000224_1200_12,2,True,False,True,0,0,0.0,136.5,2.0,2.0,136.5,G+HE
31004_20000218_1200_12,1,False,False,True,0,0,1712.1999999999998,2129.3,1.5999999999999979,1.5999999999999979,417.10000000000036,HE
31004_20000227_1200_12,1,True,False,False,0,0,0.0,599.0999999999999,8.200000000000014,8.200000000000014,599.0999999999999,G
31004_20000226_1200_12,2,True,False,True,0,0,0.0,749.4000000000001,10.39999999999998,10.39999999999998,749.4000000000001,G+HE
31004_20000219_1200_12,1,False,False,True,0,0,1274.2,1722.8000000000002,3.4000000000000057,3.4000000000000057,448.60000000000014,HE
31004_20000308_1200_12,1,True,False,False,0,0,0.0,136.20000000000005,0.5999999999999943,0.5999999999999943,136.20000000000005,G
31004_20000313_1200_12,1,True,False,False,0,0,0.0,126.79999999999995,6.199999999999994,6.199999999999994,126.79999999999995,G
31004_20000305_1200_12,1,False,False,True,0,0,4430.6,4649.6,1.5999999999999943,1.5999999999999943,219.0,HE
31004_20000311_1200_12,3,True,False,True,0,0,0.0,136.20000000000005,5.199999999999992,5.199999999999992,136.20000000000005,MULTI
31004_20000303_1200_12,2,True,False,True,0,0,0.0,128.60000000000002,2.0,2.0,128.60000000000002,G+HE
31004_20000304_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000306_1200_12,2,True,False,True,0,0,0.0,135.89999999999998,3.1999999999999886,3.1999999999999886,135.89999999999998,G+HE
31004_20000312_1200_12,3,True,False,True,0,0,0.0,135.60000000000002,5.199999999999994,5.199999999999994,135.60000000000002,MULTI
31004_20000310_1200_12,2,False,False,True,0,1,1265.4,1483.6,0.4000000000000057,2.3999999999999773,93.40000000000055,MULTI
31004_20000309_1200_12,2,True,False,True,0,0,0.0,137.10000000000002,0.4000000000000057,0.4000000000000057,137.10000000000002,G+HE
31004_20000307_1200_12,0,False,False,False,,,,,,,,NONE
31004_20000314_1200_12,2,True,False,True,0,0,0.0,136.20000000000005,5.000000000000027,5.000000000000027,136.20000000000005,G+HE
31004_20000316_1200_12,1,True,False,False,0,0,0.0,137.29999999999995,3.8000000000000096,3.8000000000000096,137.29999999999995,G
31004_20000315_1200_12,0,False,False,False,,,,,,,,NONE
