profile_id,datetime_utc,date,year,month,cycle,season,gamma_local_c_100m,z_mid_agl_m,dz_m,dt_c
31004_20080101_1200_12,2008-01-01 12:00:00,2008-01-01,2008,1,12,DJF,-29.411764705881566,2080.6000000000004,3.400000000000091,-1.0
31004_20080106_1200_12,2008-01-06 12:00:00,2008-01-06,2008,1,12,DJF,-39.63963963963839,4264.95,11.100000000000364,-4.400000000000006
31004_20080108_0000_00,2008-01-08 00:00:00,2008-01-08,2008,1,00,DJF,-200.00000000003317,1945.6000000000004,0.599999999999909,-1.200000000000017
31004_20080112_0000_00,2008-01-12 00:00:00,2008-01-12,2008,1,00,DJF,33.84615384615389,4547.2,13.0,4.400000000000006
31004_20080118_1200_12,2008-01-18 12:00:00,2008-01-18,2008,1,12,DJF,16.091954022988485,768.9499999999998,8.700000000000045,1.4000000000000057
31004_20080203_0000_00,2008-02-03 00:00:00,2008-02-03,2008,2,00,DJF,34.48275862068857,718.95,2.900000000000091,1.0
31004_20080226_0000_00,2008-02-26 00:00:00,2008-02-26,2008,2,00,DJF,-23.07692307692165,622.0999999999999,2.6000000000001364,-0.5999999999999943
31004_20080305_1200_12,2008-03-05 12:00:00,2008-03-05,2008,3,12,MAM,26.666666666667055,4.5,9.0,2.400000000000035
31004_20080329_1200_12,2008-03-29 12:00:00,2008-03-29,2008,3,12,MAM,-35.294117647057966,4777.6,6.800000000000182,-2.4000000000000057
31004_20080402_0000_00,2008-04-02 00:00:00,2008-04-02,2008,4,00,MAM,32.58785942492009,2628.1499999999996,93.90000000000009,30.599999999999994
31004_20080622_0000_00,2008-06-22 00:00:00,2008-06-22,2008,6,00,JJA,-32.60869565217375,122.89999999999998,9.200000000000045,-3.0
31004_20080715_1200_12,2008-07-15 12:00:00,2008-07-15,2008,7,12,JJA,-19.354838709676887,2405.95,3.099999999999909,-0.5999999999999659
31004_20080827_1200_12,2008-08-27 12:00:00,2008-08-27,2008,8,12,JJA,-34.67741935483855,3107.6000000000004,12.400000000000091,-4.300000000000011
31004_20081013_0000_00,2008-10-13 00:00:00,2008-10-13,2008,10,00,SON,-19.780219780221053,4536.15,9.099999999999454,-1.8000000000000078
31004_20081013_1200_12,2008-10-13 12:00:00,2008-10-13,2008,10,12,SON,-23.376623376624032,4687.049999999999,7.699999999999818,-1.8000000000000078
31004_20081024_1200_12,2008-10-24 12:00:00,2008-10-24,2008,10,12,SON,-17.857142857143145,2262.6000000000004,5.599999999999909,-1.0
31004_20081127_1200_12,2008-11-27 12:00:00,2008-11-27,2008,11,12,SON,-54.54545454544952,585.8499999999999,1.1000000000001364,-0.6000000000000192
31004_20081127_1200_12,2008-11-27 12:00:00,2008-11-27,2008,11,12,SON,-28.571428571428157,2002.8500000000004,4.900000000000091,-1.4000000000000057
31004_20081130_0000_00,2008-11-30 00:00:00,2008-11-30,2008,11,00,SON,51.063829787235534,4452.950000000001,4.699999999999818,2.3999999999999773
31004_20081218_0000_00,2008-12-18 00:00:00,2008-12-18,2008,12,00,DJF,-15.873015873016561,1996.4499999999998,6.299999999999727,-1.0
31004_20081219_0000_00,2008-12-19 00:00:00,2008-12-19,2008,12,00,DJF,40.00000000000341,670.6500000000001,0.5,0.20000000000001705
31004_20081221_1200_12,2008-12-21 12:00:00,2008-12-21,2008,12,12,DJF,35.18518518518444,1951.9,10.800000000000182,3.799999999999983
31004_20081221_1200_12,2008-12-21 12:00:00,2008-12-21,2008,12,12,DJF,-15.517241379309834,4339.0,23.200000000000728,-3.5999999999999943
31004_20081229_1200_12,2008-12-29 12:00:00,2008-12-29,2008,12,12,DJF,-27.65957446808344,4586.1,9.400000000000546,-2.5999999999999943
31004_20090110_1200_12,2009-01-10 12:00:00,2009-01-10,2009,1,12,DJF,-18.181818181817743,4632.0,17.600000000000364,-3.1999999999999886
31004_20090120_0000_00,2009-01-20 00:00:00,2009-01-20,2009,1,00,DJF,128.00000000000068,4391.85,2.5,3.200000000000017
31004_20090204_1200_12,2009-02-04 12:00:00,2009-02-04,2009,2,12,DJF,24.561403508771832,682.5500000000002,5.7000000000000455,1.4000000000000057
31004_20090205_1200_12,2009-02-05 12:00:00,2009-02-05,2009,2,12,DJF,-19.354838709678607,665.75,3.099999999999909,-0.6000000000000192
31004_20090205_1200_12,2009-02-05 12:00:00,2009-02-05,2009,2,12,DJF,22.388059701493145,4457.3,13.399999999999636,3.0
31004_20090210_1200_12,2009-02-10 12:00:00,2009-02-10,2009,2,12,DJF,16.16161616161695,2044.25,9.899999999999636,1.6000000000000192
31004_20090324_1200_12,2009-03-24 12:00:00,2009-03-24,2009,3,12,MAM,100.00000000001421,2307.6000000000004,0.599999999999909,0.5999999999999943
31004_20090329_0000_00,2009-03-29 00:00:00,2009-03-29,2009,3,00,MAM,-17.64705882352961,2385.7,3.400000000000091,-0.6000000000000227
31004_20090506_0000_00,2009-05-06 00:00:00,2009-05-06,2009,5,00,MAM,-18.18181818181864,4687.049999999999,7.699999999999818,-1.4000000000000021
31004_20090920_0000_00,2009-09-20 00:00:00,2009-09-20,2009,9,00,SON,-89.01098901098904,131.6500000000001,9.100000000000023,-8.100000000000023
31004_20090920_0000_00,2009-09-20 00:00:00,2009-09-20,2009,9,00,SON,-100.00000000000036,4800.5,1.0,-1.0000000000000036
31004_20091008_0000_00,2009-10-08 00:00:00,2009-10-08,2009,10,00,SON,26.31578947368295,4852.9,3.800000000000182,1.0
31004_20091025_0000_00,2009-10-25 00:00:00,2009-10-25,2009,10,00,SON,-66.66666666667358,754.0,0.599999999999909,-0.3999999999999808
31004_20091031_1200_12,2009-10-31 12:00:00,2009-10-31,2009,10,12,SON,-16.66666666666699,4470.5,20.399999999999636,-3.4000000000000057
