year,month,n_profiles,median_850,q25_850,q75_850,n_850,median_700,q25_700,q75_700,n_700,median_500,q25_500,q75_500,n_500
2011,1,61,0.09128251939753451,-0.27089259108763375,0.5568703884170959,61,0.08336034826100987,-0.18146350315292836,0.25523977813773213,61,-0.22703457911281882,-0.3414104241026893,-0.15666397880428481,61
2011,2,56,-0.0723931161847904,-0.5412629028892234,0.7015577485569229,56,-0.2400180026402079,-0.5320870163772383,0.04816954569261057,56,-0.35650805665410984,-0.5165060520375917,-0.2126974849701767,56
2011,3,62,-0.33270609723059363,-0.6241930595318178,-0.06666747745628455,62,-0.4672436859652698,-0.6312387983113606,-0.32954331554853816,62,-0.5235166323234384,-0.5992803840487442,-0.4493975798250612,62
2011,4,59,-0.6041502495403234,-0.780164753605008,-0.40438832977582334,59,-0.7003824173935466,-0.7523474116007135,-0.6003723414317426,59,-0.6135917187189613,-0.6704671683210992,-0.5593544030825631,59
2011,5,62,-0.6825237777646522,-0.8399455216534412,-0.5637711577967925,62,-0.6889256632802543,-0.7957887975728868,-0.5257515001716124,62,-0.6764315662819445,-0.7228538305766985,-0.5885860906177612,62
2011,6,59,-0.7413743940690032,-0.8639304504623408,-0.6131737544959157,59,-0.7283481945793238,-0.7946363586137577,-0.6400788246465019,59,-0.664458661619797,-0.7193263295254103,-0.6206227031914726,59
2011,7,62,-0.5918299662765237,-0.7559631557616597,-0.4488663931103569,62,-0.7019995366875291,-0.7575291647057145,-0.5836211581294087,62,-0.6441603297540117,-0.6799041029822138,-0.5949581893643552,62
2011,8,61,-0.42587170614852166,-0.5739955078612385,-0.24476475387543573,61,-0.5634664104132101,-0.6275882679417661,-0.48752272351677456,61,-0.576794640869442,-0.6147795487476712,-0.5267133089521386,61
2011,9,60,-0.5535181767518458,-0.7268621582303182,-0.4606852215408395,60,-0.5670157254973541,-0.6449321195427223,-0.5222920711706917,60,-0.5773334827041221,-0.6125902243084961,-0.5278528460351811,60
2011,10,62,-0.5650336764724353,-0.6950767131835345,-0.3903449340600792,62,-0.5310772686621583,-0.64478192994624,-0.4110618540190897,62,-0.548307460870834,-0.600203521101943,-0.47795073554605283,62
2011,11,60,-0.11626572105576874,-0.4042683971730148,0.3965109636690604,60,-0.16427331629957886,-0.3211908474573631,0.0023569341001224266,60,-0.37672929453084847,-0.45272561406124145,-0.29793088493240805,60
2011,12,62,0.049106672577426944,-0.2815782925573478,0.586404106078711,62,0.004487726069201118,-0.1454820338215414,0.16893728762738244,62,-0.2888448159229444,-0.3619568838020763,-0.21012586667738753,62
