profile_id,datetime_utc,year,month,cycle,position_type,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,mean_gradient_c_100m,season,eligible
31004_20000111_1200_12,2000-01-11 12:00:00,2000,1,12,G,0.0,143.39999999999998,143.39999999999998,3.400000000000002,2.3709902370990257,,DJF,True
31004_20000111_1200_12,2000-01-11 12:00:00,2000,1,12,HE,843.2,1532.3000000000002,689.1000000000001,6.199999999999992,0.8997242780438239,,DJF,True
31004_20000112_1200_12,2000-01-12 12:00:00,2000,1,12,G,0.0,709.4000000000001,709.4000000000001,5.400000000000006,0.7612066535100092,,DJF,True
31004_20000112_1200_12,2000-01-12 12:00:00,2000,1,12,HE,4500.7,4584.0,83.30000000000018,2.5999999999999943,3.1212484993997465,,DJF,True
31004_20000113_1200_12,2000-01-13 12:00:00,2000,1,12,G,0.0,69.60000000000002,69.60000000000002,0.8000000000000114,1.1494252873563378,,DJF,True
31004_20000114_1200_12,2000-01-14 12:00:00,2000,1,12,G,0.0,366.0999999999999,366.0999999999999,4.400000000000002,1.2018574160065565,,DJF,True
31004_20000115_1200_12,2000-01-15 12:00:00,2000,1,12,G,0.0,129.60000000000002,129.60000000000002,0.8000000000000114,0.6172839506172926,,DJF,True
31004_20000116_1200_12,2000-01-16 12:00:00,2000,1,12,G,0.0,749.4000000000001,749.4000000000001,5.800000000000008,0.773952495329598,,DJF,True
31004_20000117_1200_12,2000-01-17 12:00:00,2000,1,12,G,0.0,366.0999999999999,366.0999999999999,3.199999999999992,0.8740781207320385,,DJF,True
31004_20000117_1200_12,2000-01-17 12:00:00,2000,1,12,HE,2139.3,2153.8,14.5,1.8000000000000114,12.413793103448354,,DJF,True
31004_20000118_1200_12,2000-01-18 12:00:00,2000,1,12,G,0.0,759.3,759.3,3.799999999999983,0.5004609508758044,,DJF,True
31004_20000119_1200_12,2000-01-19 12:00:00,2000,1,12,G,0.0,769.3,769.3,13.200000000000014,1.7158455738983511,,DJF,True
31004_20000120_1200_12,2000-01-20 12:00:00,2000,1,12,G,0.0,823.3,823.3,8.0,0.971699259079315,,DJF,True
31004_20000129_1200_12,2000-01-29 12:00:00,2000,1,12,G,0.0,142.20000000000005,142.20000000000005,2.5999999999999943,1.8284106891701783,,DJF,True
31004_20000129_1200_12,2000-01-29 12:00:00,2000,1,12,HE,368.20000000000005,826.3,458.0999999999999,1.0,0.2182929491377429,,DJF,True
31004_20000129_1200_12,2000-01-29 12:00:00,2000,1,12,HE,1048.6,1725.3000000000002,676.7000000000003,1.5999999999999979,0.23644155460322108,,DJF,True
31004_20000130_1200_12,2000-01-30 12:00:00,2000,1,12,G,0.0,134.20000000000005,134.20000000000005,1.2000000000000437,0.8941877794337134,,DJF,True
31004_20000130_1200_12,2000-01-30 12:00:00,2000,1,12,HE,575.7,1017.4000000000001,441.70000000000005,4.3999999999999755,0.9961512338691363,,DJF,True
31004_20000131_1200_12,2000-01-31 12:00:00,2000,1,12,HE,793.3,1239.4,446.10000000000014,2.5999999999999943,0.582828962116116,,DJF,True
