profile_id,year,month,cycle,pressure_hpa,height_agl_m,gamma_c_per_100m
31004_20000108_1200_12,2000,1,12,500.0,4550.7,-0.4098017897465925
31004_20000109_1200_12,2000,1,12,850.0,719.4000000000001,1.1479173499508035
31004_20000109_1200_12,2000,1,12,750.0,1730.1571428571428,-0.01978714683476277
31004_20000109_1200_12,2000,1,12,500.0,4520.7,-0.5626942134878644
31004_20000110_1200_12,2000,1,12,850.0,749.4000000000001,0.5902606984751588
31004_20000110_1200_12,2000,1,12,750.0,1895.6193548387096,0.0945605187319899
31004_20000110_1200_12,2000,1,12,500.0,4570.8,-0.510140079448046
31004_20000111_1200_12,2000,1,12,850.0,779.3,-0.06559527714004686
31004_20000111_1200_12,2000,1,12,750.0,1933.8333333333335,0.40832824641578697
31004_20000111_1200_12,2000,1,12,500.0,4590.8,-0.48303143868415555
31004_20000112_1200_12,2000,1,12,850.0,709.4000000000001,0.3279763857002295
31004_20000112_1200_12,2000,1,12,750.0,1684.7026845637583,-0.136250938445542
31004_20000112_1200_12,2000,1,12,500.0,4500.7,-0.5542957923910301
31004_20000113_1200_12,2000,1,12,850.0,689.4000000000001,-0.06453694740238877
31004_20000113_1200_12,2000,1,12,750.0,1642.666666666667,-0.2237918735575906
31004_20000113_1200_12,2000,1,12,500.0,4490.7,-0.6915745972843049
31004_20000114_1200_12,2000,1,12,850.0,729.4000000000001,-0.0317561130517646
31004_20000114_1200_12,2000,1,12,750.0,1842.2346456692912,-0.3820844831246023
31004_20000114_1200_12,2000,1,12,500.0,4500.7,-0.6294122650335964
31004_20000115_1200_12,2000,1,12,850.0,749.4000000000001,-0.16134236850596964
31004_20000115_1200_12,2000,1,12,750.0,1689.3333333333335,-0.45393290304276923
31004_20000115_1200_12,2000,1,12,500.0,4490.7,-0.5833404821137513
31004_20000116_1200_12,2000,1,12,850.0,749.4000000000001,0.09526833915529043
31004_20000116_1200_12,2000,1,12,750.0,1702.666666666667,-0.39163577872578614
31004_20000116_1200_12,2000,1,12,500.0,4560.8,-0.6046609279865621
31004_20000117_1200_12,2000,1,12,850.0,729.4000000000001,0.03175611305176122
31004_20000117_1200_12,2000,1,12,750.0,1842.2125,-0.35102499297950013
31004_20000117_1200_12,2000,1,12,500.0,4490.7,-0.6464234073318019
31004_20000118_1200_12,2000,1,12,850.0,759.3,0.1967858314201359
31004_20000118_1200_12,2000,1,12,750.0,1699.3000000000002,-0.41134751773049527
31004_20000118_1200_12,2000,1,12,500.0,4480.7,-0.657610106429005
31004_20000119_1200_12,2000,1,12,850.0,769.3,0.6351222610352494
31004_20000119_1200_12,2000,1,12,750.0,1709.3000000000002,-0.5531914893617027
31004_20000119_1200_12,2000,1,12,500.0,4500.7,-0.6116998363056773
31004_20000120_1200_12,2000,1,12,850.0,823.3,0.3039933674174371
31004_20000120_1200_12,2000,1,12,750.0,1687.3000000000002,-0.4938271604938273
31004_20000120_1200_12,2000,1,12,500.0,4450.6,-0.4975764594861234
31004_20000129_1200_12,2000,1,12,850.0,859.3,0.06453694740238879
31004_20000129_1200_12,2000,1,12,750.0,1914.8605263157897,0.03540149533921908
31004_20000129_1200_12,2000,1,12,500.0,4660.9,-0.4450976275456644
31004_20000130_1200_12,2000,1,12,850.0,829.3,0.4063769928102571
31004_20000130_1200_12,2000,1,12,750.0,1922.1192982456141,-0.044950530335989135
31004_20000130_1200_12,2000,1,12,500.0,4791.0,-0.639262016507526
31004_20000131_1200_12,2000,1,12,850.0,749.4000000000001,-0.6351222610352497
31004_20000131_1200_12,2000,1,12,750.0,1764.445871559633,0.10845986984815538
31004_20000131_1200_12,2000,1,12,500.0,4660.9,-0.5547623903732417
31004_20000201_1200_12,2000,2,12,850.0,719.4000000000001,-0.03125976867771861
31004_20000201_1200_12,2000,2,12,750.0,1692.666666666667,-0.3972874854442074
31004_20000201_1200_12,2000,2,12,500.0,4620.8,-0.5242678681138637
31004_20000202_1200_12,2000,2,12,850.0,739.4000000000001,-0.6251953735542362
31004_20000202_1200_12,2000,2,12,750.0,1699.3333333333335,-0.013889853462047035
31004_20000202_1200_12,2000,2,12,500.0,4610.8,-0.6004523956405509
31004_20000203_1200_12,2000,2,12,850.0,739.4000000000001,0.603366147983488
31004_20000203_1200_12,2000,2,12,750.0,1856.8292682926826,0.03579644916685777
31004_20000203_1200_12,2000,2,12,500.0,4610.8,-0.6029320669006812
31004_20000205_1200_12,2000,2,12,850.0,749.4000000000001,1.3772749631087071
31004_20000205_1200_12,2000,2,12,750.0,1656.0,-0.16177660122067702
31004_20000205_1200_12,2000,2,12,500.0,4530.7,-0.6277360204840183
31004_20000206_1200_12,2000,2,12,850.0,749.4000000000001,0.6886374815543559
31004_20000206_1200_12,2000,2,12,750.0,1897.7853658536583,0.36148314282194777
31004_20000206_1200_12,2000,2,12,500.0,4650.8,-0.7290898664700574
31004_20000207_1200_12,2000,2,12,850.0,759.3,0.889312370970303
31004_20000207_1200_12,2000,2,12,750.0,1889.1585365853657,-0.04921833512505426
31004_20000207_1200_12,2000,2,12,500.0,4630.8,-0.6277360204840182
31004_20000208_1200_12,2000,2,12,850.0,699.4000000000001,0.2581477896095511
31004_20000208_1200_12,2000,2,12,750.0,1823.867741935484,0.002868740766239313
31004_20000208_1200_12,2000,2,12,500.0,4560.8,-0.6634874559402861
31004_20000209_1200_12,2000,2,12,850.0,689.4000000000001,-0.06351222610352582
31004_20000209_1200_12,2000,2,12,750.0,1793.3285714285716,-0.3558718861209969
31004_20000209_1200_12,2000,2,12,500.0,4460.7,-0.5928686372490897
31004_20000210_1200_12,2000,2,12,850.0,659.4000000000001,-0.09680542110358087
31004_20000210_1200_12,2000,2,12,750.0,1778.38,-0.1608607839282204
31004_20000210_1200_12,2000,2,12,500.0,4430.6,-0.5229199173449164
31004_20000211_1200_12,2000,2,12,850.0,669.4000000000001,-0.7335778592864297
31004_20000211_1200_12,2000,2,12,750.0,1818.3451612903223,0.26784736630794603
31004_20000211_1200_12,2000,2,12,500.0,4440.6,-0.4723147640534735
31004_20000212_1200_12,2000,2,12,850.0,699.4000000000001,-0.655952771400459
31004_20000212_1200_12,2000,2,12,750.0,1834.9837209302327,0.11918877905226537
31004_20000212_1200_12,2000,2,12,500.0,4450.6,-0.5954153021732658
31004_20000213_1200_12,2000,2,12,850.0,699.4000000000001,-0.3607740242702512
31004_20000213_1200_12,2000,2,12,750.0,1732.0500000000002,0.14525734760083175
31004_20000213_1200_12,2000,2,12,500.0,4460.7,-0.626746845091895
31004_20000214_1200_12,2000,2,12,850.0,719.4000000000001,-0.7099064214262634
31004_20000214_1200_12,2000,2,12,750.0,1842.9023255813954,0.12709426088684378
31004_20000214_1200_12,2000,2,12,500.0,4520.7,-0.36645290247355644
31004_20000215_1200_12,2000,2,12,850.0,719.4000000000001,-0.5575598556903911
