profile_id,year,month,cycle,has_G,has_E,has_HE
31004_20000831_1200_12,2000,8,12,True,False,False
31004_20000902_1200_12,2000,9,12,False,False,False
31004_20000903_1200_12,2000,9,12,False,False,False
31004_20000905_1200_12,2000,9,12,False,False,False
31004_20000906_1200_12,2000,9,12,False,False,False
31004_20000907_1200_12,2000,9,12,False,False,False
31004_20000908_1200_12,2000,9,12,False,False,False
31004_20000909_1200_12,2000,9,12,True,False,False
31004_20000910_1200_12,2000,9,12,True,False,False
31004_20000911_1200_12,2000,9,12,False,True,False
31004_20000912_1200_12,2000,9,12,False,False,False
31004_20000913_1200_12,2000,9,12,False,False,False
31004_20000914_1200_12,2000,9,12,True,False,False
31004_20000915_1200_12,2000,9,12,False,False,False
31004_20000916_1200_12,2000,9,12,False,False,True
31004_20000917_1200_12,2000,9,12,True,False,True
31004_20000918_1200_12,2000,9,12,False,False,False
31004_20000919_1200_12,2000,9,12,False,False,False
31004_20000920_1200_12,2000,9,12,False,False,True
31004_20000921_1200_12,2000,9,12,True,False,False
31004_20000922_1200_12,2000,9,12,True,False,True
31004_20000923_1200_12,2000,9,12,False,False,True
31004_20000924_1200_12,2000,9,12,False,False,False
31004_20000925_1200_12,2000,9,12,False,False,False
31004_20000926_1200_12,2000,9,12,True,False,False
31004_20000927_1200_12,2000,9,12,False,False,False
31004_20000928_1200_12,2000,9,12,True,False,False
31004_20000929_1200_12,2000,9,12,False,False,False
31004_20000930_1200_12,2000,9,12,True,False,False
31004_20001001_1200_12,2000,10,12,False,False,False
31004_20001002_1200_12,2000,10,12,True,False,True
31004_20001003_1200_12,2000,10,12,True,False,False
31004_20001004_1200_12,2000,10,12,True,False,False
31004_20001005_1200_12,2000,10,12,False,False,False
31004_20001006_1200_12,2000,10,12,False,False,False
31004_20001007_1200_12,2000,10,12,False,False,True
31004_20001008_1200_12,2000,10,12,False,False,False
31004_20001009_1200_12,2000,10,12,False,False,True
31004_20001010_1200_12,2000,10,12,False,False,True
31004_20001011_1200_12,2000,10,12,False,False,False
31004_20001012_1200_12,2000,10,12,False,False,False
31004_20001013_1200_12,2000,10,12,False,False,False
31004_20001014_1200_12,2000,10,12,False,True,False
31004_20001015_1200_12,2000,10,12,False,False,False
31004_20001016_1200_12,2000,10,12,False,False,False
31004_20001017_1200_12,2000,10,12,True,False,False
31004_20001018_1200_12,2000,10,12,False,False,False
31004_20001019_1200_12,2000,10,12,False,False,False
31004_20001020_1200_12,2000,10,12,False,False,False
31004_20001021_1200_12,2000,10,12,True,False,False
31004_20001022_1200_12,2000,10,12,False,False,True
31004_20001023_1200_12,2000,10,12,True,False,False
31004_20001024_1200_12,2000,10,12,False,False,True
31004_20001025_1200_12,2000,10,12,False,False,True
31004_20001026_1200_12,2000,10,12,False,False,True
31004_20001027_1200_12,2000,10,12,False,False,False
31004_20001028_1200_12,2000,10,12,False,False,False
31004_20001029_1200_12,2000,10,12,False,False,True
31004_20001030_1200_12,2000,10,12,False,False,True
31004_20001031_1200_12,2000,10,12,True,False,False
31004_20001101_1200_12,2000,11,12,True,False,False
31004_20001102_1200_12,2000,11,12,True,False,False
31004_20001103_1200_12,2000,11,12,False,False,True
31004_20001104_1200_12,2000,11,12,False,False,True
31004_20001105_1200_12,2000,11,12,False,False,False
31004_20001106_1200_12,2000,11,12,False,False,True
31004_20001107_1200_12,2000,11,12,False,False,True
31004_20001108_1200_12,2000,11,12,False,False,True
31004_20001109_1200_12,2000,11,12,False,False,True
31004_20001110_1200_12,2000,11,12,False,False,True
31004_20001111_1200_12,2000,11,12,False,False,False
31004_20001112_1200_12,2000,11,12,False,True,False
31004_20001113_1200_12,2000,11,12,False,False,False
31004_20001114_1200_12,2000,11,12,False,False,True
31004_20001115_1200_12,2000,11,12,False,False,False
31004_20001116_1200_12,2000,11,12,False,False,True
31004_20001117_1200_12,2000,11,12,False,False,False
31004_20001118_1200_12,2000,11,12,False,False,True
31004_20001119_1200_12,2000,11,12,False,False,True
31004_20001120_1200_12,2000,11,12,False,False,True
31004_20001121_1200_12,2000,11,12,False,False,True
31004_20001122_1200_12,2000,11,12,False,False,True
31004_20001123_1200_12,2000,11,12,False,False,True
31004_20001124_1200_12,2000,11,12,False,False,False
31004_20001125_1200_12,2000,11,12,False,False,False
31004_20001126_1200_12,2000,11,12,False,False,True
31004_20001127_1200_12,2000,11,12,False,False,False
31004_20001128_1200_12,2000,11,12,True,False,False
31004_20001129_1200_12,2000,11,12,False,True,False
