profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991128_1200_12,1999-11-28 12:00:00,1999,11,12,1,HE,500.0,505.0,5070.6,5486.4,4390.6,4806.4,415.7999999999993,0.4000000000000057,0.09620009620009773,,0,0.0,height-primary gap-v3
31004_19991129_1200_12,1999-11-29 12:00:00,1999,11,12,0,HE,774.0,732.0,2202.2,2654.3,1522.1999999999998,1974.3000000000002,452.10000000000036,1.8000000000000114,0.39814200398142224,,0,0.0,height-primary gap-v3
31004_19991129_1200_12,1999-11-29 12:00:00,1999,11,12,1,HE,637.0,619.0,3760.1,3984.5,3080.1,3304.5,224.4000000000001,0.5999999999999943,0.2673796791443824,,0,0.0,height-primary gap-v3
31004_19991130_1200_12,1999-11-30 12:00:00,1999,11,12,0,G,931.0,916.0,680.0,816.8,0.0,136.79999999999995,136.79999999999995,1.1999999999999922,0.877192982456135,,0,0.0,height-primary gap-v3
31004_19991201_1200_12,1999-12-01 12:00:00,1999,12,12,0,HE,877.0,784.0,1296.7,2219.3,616.7,1539.3000000000002,922.6000000000001,2.5999999999999943,0.28181226967266354,,0,0.0,height-primary gap-v3
31004_19991201_1200_12,1999-12-01 12:00:00,1999,12,12,1,HE,700.0,720.0,2799.3,2907.2,2119.3,2227.2,107.89999999999964,0.5999999999999943,0.5560704355885044,,0,0.0,height-primary gap-v3
31004_19991202_1200_12,1999-12-02 12:00:00,1999,12,12,0,HE,829.0,786.0,1709.9,2146.6,1029.9,1466.6,436.6999999999998,0.8000000000000114,0.18319212273872493,,0,0.0,height-primary gap-v3
31004_19991203_1200_12,1999-12-03 12:00:00,1999,12,12,0,HE,666.0,648.0,3476.9,3692.9,2796.9,3012.9,216.0,0.7999999999999865,0.37037037037036413,,0,0.0,height-primary gap-v3
31004_19991204_1200_12,1999-12-04 12:00:00,1999,12,12,0,HE,679.0,661.0,3255.8,3468.7,2575.8,2788.7,212.89999999999964,1.0,0.4697040864255527,,0,0.0,height-primary gap-v3
31004_19991204_1200_12,1999-12-04 12:00:00,1999,12,12,1,HE,643.0,625.0,3686.4,3909.1,3006.4,3229.1,222.69999999999982,0.4000000000000057,0.1796138302649331,,0,0.0,height-primary gap-v3
31004_19991208_1200_12,1999-12-08 12:00:00,1999,12,12,0,HE,860.0,837.0,1272.4,1497.5,592.4000000000001,817.5,225.0999999999999,1.0,0.4442470013327412,,0,0.0,height-primary gap-v3
31004_19991209_1200_12,1999-12-09 12:00:00,1999,12,12,0,G,931.0,818.0,680.0,1758.3,0.0,1078.3,1078.3,10.200000000000017,0.9459334137067623,,0,0.0,height-primary gap-v3
31004_19991209_1200_12,1999-12-09 12:00:00,1999,12,12,1,HE,500.0,533.0,5030.6,5144.0,4350.6,4464.0,113.39999999999964,3.0,2.645502645502654,,0,0.0,height-primary gap-v3
31004_19991210_1200_12,1999-12-10 12:00:00,1999,12,12,0,G,938.0,922.0,680.0,824.9,0.0,144.89999999999998,144.89999999999998,2.8000000000000114,1.9323671497584622,,0,0.0,height-primary gap-v3
31004_19991210_1200_12,1999-12-10 12:00:00,1999,12,12,1,HE,845.0,733.0,1552.1,2712.3,872.0999999999999,2032.3000000000002,1160.2000000000003,6.199999999999989,0.5343906223064978,,0,0.0,height-primary gap-v3
31004_19991210_1200_12,1999-12-10 12:00:00,1999,12,12,2,HE,500.0,547.0,5000.5,5003.9,4320.5,4323.9,3.399999999999636,3.8000000000000114,111.76470588236523,,0,0.0,height-primary gap-v3
31004_19991211_1200_12,1999-12-11 12:00:00,1999,12,12,0,G,944.0,700.0,680.0,2789.3,0.0,2109.3,2109.3,11.800000000000011,0.5594272981557867,,0,0.0,height-primary gap-v3
31004_19991212_1200_12,1999-12-12 12:00:00,1999,12,12,0,G,945.0,808.0,680.0,1981.8,0.0,1301.8,1301.8,18.0,1.3827008757105546,,0,0.0,height-primary gap-v3
31004_19991224_1200_12,1999-12-24 12:00:00,1999,12,12,0,G,934.0,895.0,680.0,1038.4,0.0,358.4000000000001,358.4000000000001,8.400000000000007,2.3437500000000018,,0,0.0,height-primary gap-v3
31004_19991226_1200_12,1999-12-26 12:00:00,1999,12,12,0,G,935.0,920.0,680.0,816.2,0.0,136.20000000000005,136.20000000000005,2.6000000000000227,1.908957415565361,,0,0.0,height-primary gap-v3
31004_19991226_1200_12,1999-12-26 12:00:00,1999,12,12,1,HE,577.0,561.0,4570.7,4786.5,3890.7,4106.5,215.80000000000018,0.4000000000000057,0.18535681186283845,,0,0.0,height-primary gap-v3
31004_19991227_1200_12,1999-12-27 12:00:00,1999,12,12,0,G,932.0,917.0,680.0,816.7,0.0,136.70000000000005,136.70000000000005,9.400000000000006,6.876371616678861,,0,0.0,height-primary gap-v3
