profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c
31004_20000216_1200_12,2000-02-16 12:00:00,2000,2,12,0,G,942.0,926.0,680.0,824.3,0.0,144.29999999999995,144.29999999999995,3.400000000000002,2.3562023562023584,-0.2000000000000135
31004_20000216_1200_12,2000-02-16 12:00:00,2000,2,12,1,HE,686.0,667.0,3276.2,3498.6,2596.2,2818.6,222.4000000000001,0.3999999999999808,0.17985611510790497,-11.399999999999977
31004_20000217_1200_12,2000-02-17 12:00:00,2000,2,12,0,HE,852.0,807.0,1501.5,1948.5,821.5,1268.5,447.0,1.0,0.22371364653243847,-3.4000000000000057
31004_20000219_1200_12,2000-02-19 12:00:00,2000,2,12,0,HE,803.0,760.0,1954.2,2402.8,1274.2,1722.8000000000002,448.60000000000014,3.4000000000000057,0.7579135086937149,-1.1999999999999922
31004_20000221_1200_12,2000-02-21 12:00:00,2000,2,12,0,G,934.0,919.0,680.0,816.4,0.0,136.39999999999998,136.39999999999998,1.0,0.7331378299120236,-3.5999999999999943
31004_20000221_1200_12,2000-02-21 12:00:00,2000,2,12,1,HE,757.0,716.0,2417.5,2866.5,1737.5,2186.5,449.0,1.8000000000000114,0.40089086859688444,-9.0
31004_20000222_1200_12,2000-02-22 12:00:00,2000,2,12,0,G,934.0,918.0,680.0,825.5,0.0,145.5,145.5,0.5999999999999979,0.4123711340206171,-3.599999999999998
31004_20000222_1200_12,2000-02-22 12:00:00,2000,2,12,1,HE,755.0,714.0,2439.0,2888.9,1759.0,2208.9,449.9000000000001,0.2000000000000135,0.044454323182932534,-10.200000000000014
31004_20000223_1200_12,2000-02-23 12:00:00,2000,2,12,0,HE,716.0,676.0,2866.5,3325.0,2186.5,2645.0,458.5,1.0,0.21810250817884408,-6.199999999999989
31004_20000224_1200_12,2000-02-24 12:00:00,2000,2,12,0,G,933.0,918.0,680.0,816.5,0.0,136.5,136.5,2.0,1.465201465201465,-2.600000000000019
31004_20000226_1200_12,2000-02-26 12:00:00,2000,2,12,0,G,940.0,850.0,680.0,1429.4,0.0,749.4000000000001,749.4000000000001,10.39999999999998,1.3877768881772057,-7.599999999999994
31004_20000227_1200_12,2000-02-27 12:00:00,2000,2,12,0,G,942.0,877.0,680.0,1279.1,0.0,599.0999999999999,599.0999999999999,8.200000000000014,1.3687197462860983,-3.600000000000019
31004_20000229_1200_12,2000-02-29 12:00:00,2000,2,12,0,G,925.0,911.0,679.6,817.6,-0.39999999999997726,137.60000000000002,138.0,4.599999999999994,3.333333333333329,-3.1999999999999886
31004_20000303_1200_12,2000-03-03 12:00:00,2000,3,12,0,G,924.0,910.0,680.0,808.6,0.0,128.60000000000002,128.60000000000002,2.0,1.5552099533437012,-3.599999999999966
31004_20000306_1200_12,2000-03-06 12:00:00,2000,3,12,0,G,937.0,922.0,680.0,815.9,0.0,135.89999999999998,135.89999999999998,3.1999999999999886,2.354672553348042,-4.0
31004_20000309_1200_12,2000-03-09 12:00:00,2000,3,12,0,HE,735.0,715.0,2612.6,2834.6,1932.6,2154.6,222.0,0.2000000000000135,0.09009009009009618,-2.800000000000008
31004_20000310_1200_12,2000-03-10 12:00:00,2000,3,12,0,HE,797.0,776.0,1945.4,2163.6,1265.4,1483.6,218.19999999999982,0.4000000000000057,0.1833180568286004,-1.1999999999999886
31004_20000311_1200_12,2000-03-11 12:00:00,2000,3,12,0,G,935.0,920.0,680.0,816.2,0.0,136.20000000000005,136.20000000000005,5.199999999999992,3.817914831130683,-4.0
31004_20000311_1200_12,2000-03-11 12:00:00,2000,3,12,1,HE,826.0,782.0,1713.4,2162.1,1033.4,1482.1,448.6999999999998,1.2000000000000135,0.2674392689993345,-2.0
31004_20000312_1200_12,2000-03-12 12:00:00,2000,3,12,0,G,939.0,924.0,680.0,815.6,0.0,135.60000000000002,135.60000000000002,5.199999999999994,3.8348082595870157,-4.199999999999994
31004_20000312_1200_12,2000-03-12 12:00:00,2000,3,12,1,HE,787.0,766.0,2144.9,2365.0,1464.9,1685.0,220.0999999999999,0.7999999999999865,0.3634711494775042,-3.1999999999999886
31004_20000313_1200_12,2000-03-13 12:00:00,2000,3,12,0,G,937.0,923.0,680.0,806.8,0.0,126.79999999999995,126.79999999999995,6.199999999999994,4.889589905362772,-4.000000000000002
31004_20000314_1200_12,2000-03-14 12:00:00,2000,3,12,0,G,935.0,920.0,680.0,816.2,0.0,136.20000000000005,136.20000000000005,5.000000000000027,3.6710719530102973,-4.400000000000032
31004_20000314_1200_12,2000-03-14 12:00:00,2000,3,12,1,HE,806.0,764.0,1914.9,2351.6,1234.9,1671.6,436.6999999999998,1.0,0.2289901534234029,-3.0
31004_20000316_1200_12,2000-03-16 12:00:00,2000,3,12,0,G,928.0,913.0,680.0,817.3,0.0,137.29999999999995,137.29999999999995,3.8000000000000096,2.7676620538965846,-4.0
31004_20000317_1200_12,2000-03-17 12:00:00,2000,3,12,0,G,933.0,918.0,680.0,816.5,0.0,136.5,136.5,3.1999999999999886,2.344322344322336,-3.9999999999999716
31004_20000318_1200_12,2000-03-18 12:00:00,2000,3,12,0,G,936.0,922.0,680.0,807.0,0.0,127.0,127.0,3.9999999999999716,3.149606299212576,-4.5999999999999694
31004_20000319_1200_12,2000-03-19 12:00:00,2000,3,12,0,G,935.0,920.0,680.0,816.2,0.0,136.20000000000005,136.20000000000005,2.8000000000000096,2.0558002936857624,-4.600000000000021
31004_20000320_1200_12,2000-03-20 12:00:00,2000,3,12,0,G,937.0,922.0,680.0,815.9,0.0,135.89999999999998,135.89999999999998,2.5999999999999943,1.9131714495952867,-5.0
31004_20000414_1200_12,2000-04-14 12:00:00,2000,4,12,0,G,935.0,921.0,680.0,807.1,0.0,127.10000000000002,127.10000000000002,2.5,1.9669551534225016,-5.5
31004_20000419_1200_12,2000-04-19 12:00:00,2000,4,12,0,G,928.0,914.0,680.0,808.1,0.0,128.10000000000002,128.10000000000002,1.2000000000000457,0.9367681498829395,-4.900000000000034
31004_20000420_1200_12,2000-04-20 12:00:00,2000,4,12,0,G,925.0,915.0,709.6,798.9,29.600000000000023,118.89999999999998,89.29999999999995,0.8000000000000109,0.8958566629339433,-5.100000000000023
31004_20000421_1200_12,2000-04-21 12:00:00,2000,4,12,0,HE,829.0,808.0,1657.0,1868.2,977.0,1188.2,211.20000000000005,1.0,0.4734848484848484,-7.999999999999998
31004_20000421_1200_12,2000-04-21 12:00:00,2000,4,12,1,HE,691.0,673.0,3133.5,3343.3,2453.5,2663.3,209.80000000000018,0.4000000000000341,0.19065776930411524,-3.4000000000000057
31004_20000423_1200_12,2000-04-23 12:00:00,2000,4,12,0,HE,787.0,767.0,2048.7,2258.6,1368.6999999999998,1578.6,209.9000000000001,0.39999999999997726,0.19056693663648266,-2.599999999999966
31004_20000424_1200_12,2000-04-24 12:00:00,2000,4,12,0,G,929.0,916.0,680.0,798.7,0.0,118.70000000000005,118.70000000000005,1.6000000000000227,1.3479359730412992,-5.0
31004_20000427_1200_12,2000-04-27 12:00:00,2000,4,12,0,HE,843.0,823.0,1429.3,1628.0,749.3,948.0,198.70000000000005,0.8000000000000114,0.40261701056870214,-5.899999999999977
31004_20000428_1200_12,2000-04-28 12:00:00,2000,4,12,0,HE,802.0,763.0,1858.6,2266.0,1178.6,1586.0,407.4000000000001,2.0,0.4909180166912125,-3.1999999999999886
31004_20000429_1200_12,2000-04-29 12:00:00,2000,4,12,0,HE,760.0,722.0,2289.3,2704.2,1609.3000000000002,2024.1999999999998,414.89999999999964,1.8000000000000123,0.433839479392628,-5.600000000000022
