season,pressure_hpa,median,q25,q75,mean,count
SON,650.0,-18.442857142857132,-24.741467181467158,-12.13041474654376,-18.430103089563087,4479
SON,675.0,-17.05714285714284,-23.31115253184217,-10.553571428571411,-16.944719451705314,4479
SON,700.0,-15.699999999999989,-22.09999999999997,-9.099999999999966,-15.528556488498312,4479
SON,725.0,-14.588888888888878,-20.849942462600673,-7.722649572649553,-14.361489311008043,4479
SON,750.0,-13.52524271844659,-19.855181291568304,-6.4242476220177505,-13.224397143240283,4479
SON,775.0,-12.548484848484845,-18.967972350230394,-5.144864226682396,-12.144231165255219,4479
SON,800.0,-11.361538461538458,-18.117711962833887,-3.8313725490195707,-11.077795696474862,4479
SON,825.0,-10.09130434782605,-17.35768025078368,-2.4513897317635367,-10.03592689327847,4479
SON,850.0,-8.899999999999977,-16.5,-1.099999999999966,-8.993791882088146,4479
SON,875.0,-7.744117647058804,-15.76005392912171,0.08056680161944779,-7.962921696404874,4479
SON,900.0,-6.4999999999999805,-14.973958333333318,1.270975232198177,-6.9713160331149995,4479
SON,925.0,-5.699999999999989,-15.299999999999956,1.8000000000000114,-6.796611474813522,4102
