source_file,source_path,cycle,file_ymd,obs_datetime,subset_index,delayed
gdas.adpupa.t12z.20000212.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000212.bufr,12,20000212,2000-02-12T12:00:00,2,0
gdas.adpupa.t12z.20000213.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000213.bufr,12,20000213,2000-02-13T12:00:00,1,0
gdas.adpupa.t12z.20000214.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000214.bufr,12,20000214,2000-02-14T12:00:00,2,0
gdas.adpupa.t12z.20000215.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000215.bufr,12,20000215,2000-02-15T12:00:00,2,0
gdas.adpupa.t12z.20000216.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000216.bufr,12,20000216,2000-02-16T12:00:00,2,0
gdas.adpupa.t12z.20000217.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000217.bufr,12,20000217,2000-02-17T12:00:00,2,0
gdas.adpupa.t12z.20000218.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000218.bufr,12,20000218,2000-02-18T12:00:00,2,0
gdas.adpupa.t12z.20000219.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000219.bufr,12,20000219,2000-02-19T12:00:00,2,0
gdas.adpupa.t12z.20000220.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000220.bufr,12,20000220,2000-02-20T12:00:00,2,0
gdas.adpupa.t12z.20000221.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000221.bufr,12,20000221,2000-02-21T12:00:00,1,0
gdas.adpupa.t12z.20000222.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000222.bufr,12,20000222,2000-02-22T12:00:00,2,0
gdas.adpupa.t12z.20000223.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000223.bufr,12,20000223,2000-02-23T12:00:00,2,0
gdas.adpupa.t12z.20000224.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000224.bufr,12,20000224,2000-02-24T12:00:00,2,0
gdas.adpupa.t12z.20000225.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000225.bufr,12,20000225,2000-02-25T12:00:00,2,0
gdas.adpupa.t12z.20000226.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000226.bufr,12,20000226,2000-02-26T12:00:00,2,0
gdas.adpupa.t12z.20000227.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000227.bufr,12,20000227,2000-02-27T12:00:00,1,0
gdas.adpupa.t12z.20000228.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000228.bufr,12,20000228,2000-02-28T12:00:00,1,0
gdas.adpupa.t12z.20000229.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000229.bufr,12,20000229,2000-02-29T12:00:00,1,0
gdas.adpupa.t12z.20000301.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000301.bufr,12,20000301,2000-03-01T12:00:00,2,0
gdas.adpupa.t12z.20000302.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000302.bufr,12,20000302,2000-03-02T12:00:00,1,0
gdas.adpupa.t12z.20000303.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000303.bufr,12,20000303,2000-03-03T12:00:00,2,0
gdas.adpupa.t12z.20000304.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000304.bufr,12,20000304,2000-03-04T12:00:00,2,0
gdas.adpupa.t12z.20000305.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000305.bufr,12,20000305,2000-03-05T12:00:00,2,0
gdas.adpupa.t12z.20000306.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000306.bufr,12,20000306,2000-03-06T12:00:00,2,0
gdas.adpupa.t12z.20000307.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000307.bufr,12,20000307,2000-03-07T12:00:00,1,0
gdas.adpupa.t12z.20000308.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000308.bufr,12,20000308,2000-03-08T12:00:00,1,0
gdas.adpupa.t12z.20000309.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000309.bufr,12,20000309,2000-03-09T12:00:00,1,0
gdas.adpupa.t12z.20000310.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000310.bufr,12,20000310,2000-03-10T12:00:00,0,0
gdas.adpupa.t00z.20000311.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t00z.20000311.bufr,00,20000311,2000-03-11T00:00:00,3,0
