source_file,profiles_found,error,scanned_at
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000529.bufr,1,,2026-08-03T03:56:37Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000311.bufr,1,,2026-08-03T03:56:37Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000512.bufr,1,,2026-08-03T03:56:38Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000531.bufr,1,,2026-08-03T03:56:38Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000605.bufr,1,,2026-08-03T03:56:39Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991231.bufr,1,,2026-08-03T03:56:39Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000530.bufr,1,,2026-08-03T03:56:42Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000102.bufr,1,,2026-08-03T03:57:04Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000609.bufr,1,,2026-08-03T03:57:04Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000101.bufr,1,,2026-08-03T03:57:05Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000105.bufr,1,,2026-08-03T03:57:07Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000109.bufr,1,,2026-08-03T03:57:08Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000106.bufr,1,,2026-08-03T03:57:08Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000616.bufr,1,,2026-08-03T03:57:09Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000104.bufr,1,,2026-08-03T03:57:09Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000108.bufr,1,,2026-08-03T03:57:11Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000111.bufr,1,,2026-08-03T03:57:11Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000107.bufr,1,,2026-08-03T03:57:11Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000103.bufr,1,,2026-08-03T03:57:11Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000112.bufr,1,,2026-08-03T03:57:13Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000110.bufr,1,,2026-08-03T03:57:14Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000116.bufr,1,,2026-08-03T03:57:37Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000113.bufr,1,,2026-08-03T03:57:37Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000115.bufr,1,,2026-08-03T03:57:38Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000119.bufr,1,,2026-08-03T03:57:39Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000118.bufr,1,,2026-08-03T03:57:39Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000117.bufr,1,,2026-08-03T03:57:41Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000114.bufr,1,,2026-08-03T03:57:42Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000130.bufr,1,,2026-08-03T03:57:42Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000201.bufr,1,,2026-08-03T03:57:42Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000129.bufr,1,,2026-08-03T03:57:43Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000131.bufr,1,,2026-08-03T03:57:43Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000202.bufr,1,,2026-08-03T03:57:47Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000120.bufr,1,,2026-08-03T03:57:51Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t12z.20000203.bufr,1,,2026-08-03T03:57:52Z
